timeNow,imuPosX,imuPosY,uwbPosX,uwbPosY,syncPosX,syncPosY,lightHousePosX,lightHousePosY,lightHousePosZ
0.000000000,0,0,12.499,45.551,0.0124865,0.0455055,0.000932431,5.38298e+07,6.93894e-13
1702591811.859900494,0,0,7.32812,6.28438,0.0270813,0.0579522,0.5854,0.1083,0.6547
1702591811.873886204,0,0,7.32812,6.28438,0.0270813,0.0579522,0.5856,0.1084,0.6546
1702591811.887912163,0,0,7.32812,6.28438,0.0270813,0.0579522,0.5856,0.1084,0.6546
1702591811.901593956,0,0,7.32812,6.28438,0.0270813,0.0579522,0.5856,0.1084,0.6546
1702591811.914703208,0,0,7.32812,6.28438,0.0270813,0.0579522,0.5856,0.1084,0.6546
1702591811.928783126,0,0,7.32812,6.28438,0.0270813,0.0579522,0.5856,0.1084,0.6546
1702591811.942736460,0,0,7.32812,6.28438,0.0270813,0.0579522,0.5856,0.1084,0.6546
1702591811.955759087,0,0,4.225,5.31484,0.0396165,0.0736496,0.5856,0.1084,0.6546
1702591811.970720130,0,0,4.225,5.31484,0.0396165,0.0736496,0.5854,0.1085,0.6546
1702591811.984749881,0,0,4.225,5.31484,0.0396165,0.0736496,0.5854,0.1085,0.6546
1702591811.998821633,0,0,4.225,5.31484,0.0396165,0.0736496,0.5854,0.1085,0.6546
1702591812.012959301,0,0,4.225,5.31484,0.0396165,0.0736496,0.5854,0.1085,0.6546
1702591812.027574427,0,0,4.225,5.31484,0.0396165,0.0736496,0.5854,0.1085,0.6546
1702591812.040700887,0,0,4.225,5.31484,0.0396165,0.0736496,0.5854,0.1085,0.6546
1702591812.054755430,0,0,14.7,0.46875,0.0978218,0.0752183,0.5854,0.1085,0.6546
1702591812.068936556,0,0,14.7,0.46875,0.0978218,0.0752183,0.5854,0.1085,0.6546
1702591812.082758641,0,0,14.7,0.46875,0.0978218,0.0752183,0.5854,0.1083,0.6545
1702591812.096719559,0,0,14.7,0.46875,0.0978218,0.0752183,0.5854,0.1083,0.6545
1702591812.109833477,0,0,14.7,0.46875,0.0978218,0.0752183,0.5854,0.1083,0.6545
1702591812.123611229,0,0,14.7,0.46875,0.0978218,0.0752183,0.5854,0.1083,0.6545
1702591812.137888313,0,0,14.7,0.46875,0.0978218,0.0752183,0.5854,0.1083,0.6545
1702591812.151851565,0,0,10.5,1.22109,0.149268,0.0808854,0.5854,0.1083,0.6545
1702591812.165571566,0,0,10.5,1.22109,0.149268,0.0808854,0.5854,0.1083,0.6545
1702591812.179576818,0,0,10.5,1.22109,0.149268,0.0808854,0.5855,0.1083,0.6544
