imuDataRxTime,odomDataRxTime,uwbDataRxTime,aX,aY,aZ,wX,wY,wZ,qX,qY,qZ,qW,vXY,angleV,imuPosX,imuPosY,uwbPosX,uwbPosY,syncPosX,syncPosY,lightHousePosX,lightHousePosY,lightHousePosZ,d1,d2,d3
0.000000000,0.000000000,1702752935.803043494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-8.99991e-05,0,0.000932431,5.38298e+07,6.93894e-13,64250,63683,57793
1702752954.493237872,0.000000000,1702752954.455923201,0.423774,-0.268151,9.70849,-0.0607201,-0.00532632,0.0308927,0,0,0,0,0,0,0,0,-11.9156,0.003125,-0.000328304,6.24984e-08,0.0144,0.0202,-0.1899,465,468,464
1702752954.507165248,0.000000000,1702752954.455923201,0.40462,-0.260968,9.75398,-0.0607201,-0.00532632,0.0298274,0,0,0,0,0,0,0,0,-11.9156,0.003125,-0.000328304,6.24984e-08,0.0144,0.0203,-0.19,465,468,464
1702752954.521132874,0.000000000,1702752954.455923201,0.407014,-0.28491,9.7037,-0.0617853,-0.00532632,0.0308927,0,0,0,0,0,0,0,0,-11.9156,0.003125,-0.000328304,6.24984e-08,0.0144,0.0203,-0.19,465,468,464
1702752954.534275959,0.000000000,1702752954.455923201,0.395043,-0.289698,9.71328,-0.0617853,-0.00426106,0.0308927,0,0,0,0,0,0,0,0,-11.9156,0.003125,-0.000328304,6.24984e-08,0.0144,0.0203,-0.1899,465,468,464
1702752954.548319127,0.000000000,1702752954.455923201,0.399832,-0.294487,9.70609,-0.0617853,-0.00639159,0.0308927,0,0,0,0,0,0,0,0,-11.9156,0.003125,-0.000328304,6.24984e-08,0.0144,0.0203,-0.1899,465,468,464
1702752954.562235420,0.000000000,1702752954.556857086,0.430956,-0.296881,9.71328,-0.0628506,-0.00532632,0.0298274,0,0,0,0,0,0,0,0,-9,2.20547,-0.000598281,6.62235e-05,0.0144,0.0203,-0.1899,469,469,472
1702752954.576044672,0.000000000,1702752954.556857086,0.399832,-0.282516,9.71328,-0.0617853,-0.00532632,0.0319579,0,0,0,0,0,0,0,0,-9,2.20547,-0.000598281,6.62235e-05,0.0145,0.0202,-0.1899,469,469,472
1702752954.589290423,0.000000000,1702752954.556857086,0.423774,-0.265756,9.74919,-0.0617853,-0.00532632,0.0308927,0,0,0,0,0,0,0,0,-9,2.20547,-0.000598281,6.62235e-05,0.0145,0.0202,-0.1899,469,469,472
1702752954.604175341,0.000000000,1702752954.556857086,0.392649,-0.270545,9.67018,-0.0617853,-0.00532632,0.0319579,0,0,0,0,0,0,0,0,-9,2.20547,-0.000598281,6.62235e-05,0.0143,0.0202,-0.1898,469,469,472
